row_index,key,contoh,googlecontoh
11454,bangil,orang itu bangil ketika dipanggil namanya,the person was shocked when his name was called
11455,bangir,"putri itu cantik sekali, kulitnya halus, dan hidungnya bangir","The princess is very beautiful, her skin is smooth, and her nose is aquiline"
11456,bangit,tak henti-hentinya ia merintih karena bangit yang dirasakannya,he kept moaning because of the pain he felt
11462,bangkai,bangkai anjing,dog carcass
11463,bangkai,bangkai kapal; bangkai mobil,shipwreck; car wreck
11475,bangkar,tikar bangkar,bangkar mat
11480,bangkas,ayam bangkas,bangkas chicken
11482,bangkasa,anak itu sangat gembira mendengar bangkasa di sungai dekat rumahnya,The child was very happy to hear the Bangkasa in the river near his house
11496,bangking,di belakang rumahnya ada bangking yang sudah mengering,behind his house there is a bank that has dried up
11497,bangking,"jangan sebut bangking kpdnya, nanti dia marah","Don't call him banking, he'll get angry."
11500,bangkit,ia bangkit dari duduknya; ia bangkit berdiri sambil mempersilakan tamunya duduk,he rose from his seat; He got up and invited his guests to sit down
11501,bangkit,bangkit dari kubur,rise from the grave
11502,bangkit,bangkit amarahnya mendengar ejekan itu,his anger rose when he heard the taunt
11503,bangkit,penyakitnya yang lama bangkit,his old illness resurfaced
11504,bangkit,debu pun bangkit ke udara,dust rose into the air
11505,bangkit,"karena banyak raginya, adonan itu cepat bangkit","because there is a lot of yeast, the dough rises quickly"
11514,bangkrak,sudah tak banyak lampu yang diselubungi bangkrak,there are not many lights that are covered by the bankkrak
11515,bangkrut,perusahaan itu hampir bangkrut karena selalu rugi,the company was almost bankrupt because it was always making losses
11516,bangkrut,"karena kesukaannya berjudi, akhirnya ia bangkrut","because of his love of gambling, he finally went bankrupt"
11526,bangkung,bangkung anjing itu agar pergi dari sini,bark the dog to get out of here
11543,bangsa,bangsa India; bangsa Indonesia; bangsa Mesir,Indian nation; Indonesian nation; Egyptian people
11545,bangsa,tersedia segala makanan bangsa kue-kue dan minuman,"all kinds of national food, cakes and drinks are available"
11546,bangsa,bahasa menunjukkan bangsa,language shows nation
11547,bangsa,"lajur pertama diisi dengan nama, yang kedua dengan bangsa, yang ketiga umur","The first column is filled with name, the second with nation, the third is age"
11568,bangsal mesin,bangsal mesin mesin itu sudah lapuk,the engine room was rotten
11571,bangsat,"dasar anak bangsat, menjadi bangsat juga","You bastard, be a bastard too"
11573,bangsawan,"meskipun anak orang bangsawan, ia tidak sombong; seorang bangsawan muda ingin memperistrinya","Even though she is the daughter of a noble, she is not arrogant; a young noble wants to marry her."
11584,bangun,"anak itu berkali-kali terjatuh, tetapi ia selalu dapat bangun kembali","The child fell many times, but he always got back up again."
11585,bangun,setiap pagi ia bangun pukul 04.00,every morning he wakes up at 04.00
11586,bangun,"sewaktu suaminya pulang larut malam, ia masih bangun","when her husband came home late at night, she was still awake"
11587,bangun,"ia bangun setelah kepalanya diguyur air; kalau tidak mendengar ledakan itu, saya tidak bangun","he woke up after his head was doused with water; if I hadn't heard the explosion, I wouldn't have woken up"
11588,bangun,bangsa terjajah mulai bangun menuntut kemerdekaannya; kaum buruh mulai bangun menuntut perbaikan nasib,Colonized nations began to rise up and demand their independence; workers began to rise up and demand improvements in their fate
11589,bangun,dengan ditutup rapat-rapat adonan itu akan cepat bangun,by covering it tightly the dough will rise quickly
11590,bangun,hangatkan minyak kelapa itu supaya lekas bangun,Warm the coconut oil so you wake up quickly
11591,bangun,kaca meja itu bulat telur bangunnya,the glass table is oval in shape
11592,bangun,menyelidiki bangun tanah,investigate the structure of the earth
11599,bangun-bangun,bangun-bangunnya baik dan cakap,his build is good and capable
11609,bani,bani Adam seluruh umat manusia,"the sons of Adam, all mankind"
11614,baniu,kami kesulitan menebang pohon durian itu karena baniunya sangat lebar,we had difficulty cutting down the durian tree because its trunk was very wide
11615,banius,parangku sudah banius dan sudah saatnya diganti baru,My machete is worn out and it's time to replace it with a new one
11617,banjang,kakek membuat banjang panjang sekali,Grandpa made a very long banjang
11618,banjang,rumah banjang dapat menjadi alternatif hunian berciri ekowisata,Banjang houses can be an alternative housing with ecotourism characteristics
11632,banjaran,presiden mengunjungi daerah rusuh itu dengan dipagari oleh banjaran pasukan pengawal,The president visited the riot-affected area surrounded by a heavy security detail.
11638,banjir,"karena hujan turun terus-menerus, sungai itu banjir","because it rained continuously, the river flooded"
11639,banjir,"pada musim hujan, daerah itu sering dilanda banjir","During the rainy season, the area is often hit by floods"
11641,banjir,menjelang Lebaran di pasar banjir petasan,"Approaching Eid, the market is flooded with firecrackers"
11645,banjir kiriman,pemerintah kota mengimbau masyarakat untuk waspada terhadap kemungkinan terjadinya banjir kiriman kiriman,The city government has urged the public to be alert to the possibility of flash floods.
11711,bantahan,bantahan terhadap ketidakbenaran berita itu telah dimuat di surat kabar,rebuttal of the untruth of the news has been published in the newspaper
11714,bantaian,sapi bantaian; kerbau bantaian,slaughtered cows; slaughtered buffalo
11740,bantam,tinju kelas bantam,bantamweight boxing
11743,bantaran,pemerintah sedang mengelola lahan terbuka di dekat bantaran sungai itu,the government is managing open land near the riverbanks
11749,bantea,hansip sedang berkumpul di bantea,Hansip is gathering at Bantea
11750,banteh,luka kakinya banteh sehingga harus dirawat di rumah sakit,his leg wound was so bad that he had to be treated in hospital
11759,banter,paling banter cuma dimarahi,at most just get scolded
11760,banter,"paling banter hanya Rp5.000,00 harganya","at most it only costs Rp. 5,000.00"
11761,banter,paling banter sekali setahun bisa bertemu,at most once a year we can meet
11762,banter,paling banter aku dapat menunggu sampai pukul 05.00,at most i can wait until 05.00
11763,banter,paling banter hanya dapat menampung 48 orang murid,at best it can only accommodate 48 students
11772,banting,gali patik yang datang ini empat belas dan banting patik sembilan buah,Dig up the fourteen holes that come and slam the nine holes
11775,bantingan,bantingannya terlalu kuat sehingga lawannya pingsan,The throw was so strong that his opponent fainted.
11780,bantongan,"selalu ada bantongan yang menyusup pada aksi massa, memanfaatkan situasi yang memanas","There are always those who infiltrate mass actions, taking advantage of heated situations"
11781,bantu,bantulah orang miskin dan melarat,help the poor and destitute
11782,bantu,guru bantu; kantor pos bantu,assistant teacher; assistant post office
11784,bantuan,ia mendapatkan bantuan kredit dari bank,he got credit assistance from the bank
11811,banyak,saudagar itu banyak uangnya,the merchant has a lot of money
11812,banyak,berapa orang banyaknya?; banyaknya lima puluh orang murid,how many people are there?; there are fifty students
11813,banyak,banyak terima kasih,many thanks
11816,banyak makan garam,"yang mengincar proyek itu bukan hanya dia, melainkan juga sejumlah pengembang besar yang sudah banyak makan garam makan garam","It's not just him who is eyeing the project, but also a number of big developers who have had a lot of experience."
11820,banyak sedikitnya,keuntungan banyak sedikitnya sedikitnya belum dapat diketahui,the amount of profit is not yet known
11821,banyak sedikitnya,perbuatanmu itu banyak sedikitnya sedikitnya merugikan kepentingan orang,"your actions, more or less, are detrimental to other people's interests"
11822,banyak sedikitnya,banyak sedikitnya sedikitnya ia berusaha untuk membantu kita,more or less he tries to help us
11830,banyolan,banyolannya membuat orang tertawa terpingkal-pingkal,his jokes made people laugh out loud
11831,banyolan,"jangan marah, itu hanya sekadar banyolan","don't be angry, it's just a joke"
11849,bapaduo,"dalam mengurus kebun karet, ayah dan pamannya menyepakati bapaduo","in managing the rubber plantation, his father and uncle agreed on bapaduo"
11854,bapak,Ki Hadjar Dewantara dipandang sebagai bapak Pendidikan Nasional,Ki Hadjar Dewantara is seen as the father of National Education
11883,bapang,"ada juga pakaian raja yang lain, seperti jubah, baju kerajaan, dan bapang","there are also other king's clothes, such as robes, royal clothes, and bapang"
11884,bapang,ada banyak bapang yang harus diganti karena sudah usang,there are many bapang that need to be replaced because they are worn out
11890,baperan,dia kurang disukai teman-temannya karena dianggap terlalu baperan,He is not well-liked by his friends because they think he is too sensitive.
11894,baplang,keluarlah seorang centeng yang berkumis baplang,a thug with a scruffy mustache came out
11900,bapra,bapra akan menambah kesan artistik sebuah rumah,bapra will add an artistic impression to a house
11915,barabea,keluarga sudah menyiapkan barabea untuk pemandian jenazah,the family has prepared a barabea for bathing the body
11926,barahan,biasanya penduduk kampung yang berburu sejenis kelelawar barahan selama beberapa hari,Usually the villagers hunt a type of bat for several days
11943,barang,barang cair; barang keras,liquid goods; hard goods
11944,barang,dia menjual barangnya untuk membayar utang,he sold his goods to pay off his debt
11946,barang,truk yang mengangkut barang terguling di tikungan itu,the truck carrying goods overturned on that bend
11947,barang,beri aku nasi barang sesuap,give me a bite of rice
11948,barang,barang disampaikan Allah kiranya surat ini kepada anakku,God conveyed this letter to my son
11967,barang curah,terminal bongkar muat barang curah curah,bulk cargo loading and unloading terminal
12023,barangkali,"dia tidak datang pada hari ini, barangkali besok; barangkali ayahmu berangkat hari ini; tanyakanlah barangkali ia mengerti","he is not coming today, maybe tomorrow; maybe your father is leaving today; ask him maybe he understands"
12031,barapen,masyarakat Biak sedang melaksanakan acara barapen yang dihadiri oleh Bupati,The Biak community is holding a Barapen event which is attended by the Regent
12039,barat,matahari terbenam di sebelah barat,the sun sets in the west
12040,barat,bangsa barat; kebudayaan barat,western nations; western culture
12053,barbar,bangsa barbar bangsa yang belum beradab (sifatnya kasar dan kejam),"barbarians, uncivilized nations (rough and cruel in nature)"
12054,barbari,barbari dibuat setelah mengendapkan air perasan kelapa selama delapan jam,Barbari is made after settling coconut juice for eight hours.
12070,barbur,orang barbur,barbur people
12087,bari,ayah sedang bari untuk kayu bakar,Dad was looking for firewood
12092,barier,penanggulangan erosi tanah pantai diupayakan dengan sistem barier yang dapat memecah dan menahan gelombang,coastal soil erosion control efforts are made using a barrier system that can break and hold back waves.
12102,baris,tiap petak ditanami sepuluh baris pohon ketela,each plot is planted with ten rows of cassava trees
12103,baris,anak-anak sedang belajar baris,children are learning lines
12104,baris,terangkanlah kata-kata yang diberi baris di bawahnya,Explain the words in the line below
12105,baris,baris Baret Merah,Red Beret line
12106,baris,kalimat itu tertulis pada halaman 15 baris kelima dari atas,"the sentence is written on page 15, fifth line from the top"
12114,baris-berbaris,murid-murid sedang melakukan latihan baris-berbaris,The students are doing marching exercises
12140,barlang,sandal yang barlang masih bisa dipakai ke kebun,sandals that are still good to wear to the garden
12150,barok,penampilan musik barok itu diakhiri dengan tepuk tangan,the baroque music performance ended with applause
12153,barometer,keamanan di Jakarta merupakan barometer keamanan di Indonesia,Security in Jakarta is a barometer of security in Indonesia
12171,barongan,"apabila sedang sepi ikan, nelayan sering menggunakan barongan sehingga mendapatkan tangkapan meski sedikit","When there are few fish, fishermen often use barongan so they can catch even a small amount."
12185,baru,tidak jauh dari dusun itu terdapat sebuah pabrik baru,not far from the hamlet there is a new factory
12186,baru,pada hari ini tidak ada berita baru mengenai perubahan kabinet,Today there is no new news regarding cabinet changes
12187,baru,ia membeli rumah baru di kompleks perumahan itu,he bought a new house in the housing complex
12188,baru,pagi tadi ia memakai baju baru; kemarin ia mengendarai sepeda baru hadiah dari orang tuanya,"This morning he wore new clothes; yesterday he rode a new bicycle, a gift from his parents."
12189,baru,buah-buahan ini masih baru; ikan ini masih baru,these fruits are new; this fish is still new
12190,baru,dua sejoli itu adalah pengantin baru,the two lovebirds are newlyweds
12191,baru,dia adalah pegawai baru di kantor ini,he is a new employee in this office
12192,baru,selamat dan sejahteralah mulai tahun baru ini,Have a safe and prosperous start to this new year
12193,baru,zaman baru; sastra baru,new age; new literature
12194,baru,mereka berdua baru saja berada di sini; dia baru saja pergi,they were both just here; he just left
12195,baru,"setelah diingatkan berkali-kali, baru ia sadar akan kesalahannya; sesudah dipukul baru ia mengaku","After being reminded many times, he finally realized his mistake; after being beaten, he finally admitted it."
12196,baru,ayah baru makan; jangan ribut saja adikmu baru tidur,"Dad just ate; don't make a fuss, your little brother is just sleeping"
12205,barua,di rumah bapak Raja Kailolo disediakan barua,"in the house of the King of Kailolo, barua is provided"
12213,baruh,orang baruh,new people
12214,baruh,padi baruh,new rice
12233,barut,"kakimu sptnya bengkak, coba balurkan barut agar cepat sembuh","Your feet seem swollen, try rubbing on a bandage to help them heal quickly."
12243,bas,mereka mencari seorang bas yang biasa memborong pekerjaan memasang ubin,they were looking for a bass who usually hired tile laying jobs
12244,bas,ia meminta izin kepada basnya,he asked permission from his bassist
12254,basa-basi,tidak tahu di basa-basi; hal itu dilakukan hanyalah sebagai basa-basi dalam pergaulan ini,don't know what small talk is; it's just done as small talk in this social circle
12258,basah,bajunya basah kena hujan,his clothes were wet from the rain
12259,basah,ikan basah,wet fish
12260,basah,ia ditempatkan di pos yang basah,he was placed in a wet post
12264,basahan,kain basahan,wet cloth
12265,basahan,gelang basahan,wet bracelet
12272,basantara,"sebelum menjadi bahasa Indonesia, bahasa Melayu telah menjadi basantara di nusantara ini","Before becoming Indonesian, Malay had become a language in this archipelago"
12289,basi,"nasi itu sudah basi, jangan dimakan","That rice is stale, don't eat it"
12290,basi,malas rasanya mendengarkan cerita yang sudah basi,I feel lazy listening to stale stories
12291,basi,segala mantranya basi belaka,all the spells are just stale
12315,basir,Albasir Yang Mahatahu,The All-Knowing Albasir
12316,basir,cahaya pelita itu kurang basir,the light of the lamp was less dull
12318,basir,para basir duduk berjejer untuk melaksanakan upacara,the basirs sit in a row to carry out the ceremony
12319,basirah,lihatlah dengan basirah tanda-tanda kekuasaan Allah,look with grace at the signs of Allah's power
12323,basis,pasukan itu menggempur basis angkatan laut musuh,The troops raided the enemy's naval base
12340,basondo,dia tiba-tiba basondo saat ketua RT sedang menyampaikan sambutan,He suddenly went berserk when the RT chairman was delivering his speech
12345,basu,ibu mengambil sagu dari dalam basu,Mother took the sago from the basu
12354,basur,kakinya basur karena penyakit biri-biri,his feet were wet because of sheep disease
12356,baswara,"kunang-kunang adalah sejenis serangga yang baswara, cahayanya akan jelas terlihat saat malam hari","Fireflies are a type of insect that is very bright, their light is clearly visible at night."
12358,bata,bata garam,salt bricks
12371,batai,anaknya lahir langsung batai,the child was born directly batai
12386,batal,perjanjian itu dinyatakan batal,the agreement was declared void
12387,batal,rapat kemarin terpaksa batal karena yang hadir kurang dari dua pertiga jumlah anggota,Yesterday's meeting was forced to be cancelled because less than two-thirds of the members were present.
12388,batal,"sudah berkali-kali dia menempuh ujian, tetapi selalu batal","he has taken the exam many times, but always fails"
12391,batamarang,imam membakar batamarang di masjid pada malam Lailatulqadar,Imam burns batamarang in mosque on Lailatulqadar night
12397,batang,batang emas; batang besi,gold bar; iron bar
12398,batang,batang cendawan,mushroom stem
12399,batang,batang leher; batang lengan,neck stem; arm stem
12400,batang,pensil dua batang,two pencils
12401,batang,di tempat itu mengalir sebatang sungai,in that place a river flows
12402,batang,sepeda ini batangnya baik sekali,This bike has a very good stem
12403,batang,batang Antokan,Antokan stem
12404,batang,masih banyak warga yang terbiasa mandi di batang Bjr,There are still many residents who are used to bathing in Batang Bjr
12405,batang,ia telah menjadi batang sejak beberapa hari yang lalu,he has been a stem since a few days ago
12433,batang tubuh,batang tubuh tubuh UUD 1945; nama batang tubuh tubuh nama sebenarnya (bukan timang-timangan atau gelar),torso body of the 1945 Constitution; name of torso body real name (not a title or title)
12434,batangan,emas batangan,gold bar
12443,batas,mana batas kebun ini?; sungai ini menjadi batas Provinsi Jawa Barat dan Jawa Tengah,Where is the boundary of this garden? This river is the boundary between West Java and Central Java Provinces.
12444,batas,pembentukan kabinet diberi batas waktu seminggu; tindakan itu dianggap orang telah melampaui batas kekuasaannya,the cabinet formation was given a one-week time limit; this action was considered to have exceeded the limits of his authority
12445,batas,"air sungai itu tidak dalam, hanya sampai batas lutut","the river water is not deep, only up to the knees"
12463,batatapas,ia sedang batatapas di tepi sungai,he was doing batatapas on the river bank
12470,batekeng,mereka batekeng di pinggir pantai,they are hanging out on the beach
12513,batin,ia menceritakan apa yang terasa dalam batinnya,he told what he felt inside
12514,batin,sukar mengetahui (mengukur) batin seseorang; mohon maaf lahir dan batin,it is difficult to know (measure) someone's mind; Forgive me body and soul
12515,batin,"lahirnya menolong, batinnya menggolong kelihatannya seperti hendak menolong, tetapi hakikatnya merugikan","outwardly helpful, internally it seems like it is going to help, but in reality it is detrimental"
12529,bato,tampak petani lalu lalang di bato itu menuju petak sawah masing-masing,Farmers were seen going back and forth on the farmland towards their respective rice fields.
12546,batu,ia membeli jam tangan yang tujuh belas batu,he bought a watch that was seventeen stones
12547,batu,geretan ini telah habis batunya,This lighter has run out of stones
12548,batu,lampu senter dua batu,two-stone flashlight
12549,batu,kami tidak dapat bermain catur karena beberapa batu catur hilang,we can't play chess because some of the chess pieces are missing
12550,batu,gigi dua batu,two stone teeth
12551,batu,jauh dari sini ke kota itu dua batu,it's two miles from here to the city
12552,batu,berhati batu,stone-hearted
12647,batu pijakan,batu pijakan pijakan taman awalnya dibuat agar pejalan kaki dapat melangkah dengan nyaman,Garden stepping stones were originally created to allow pedestrians to step comfortably.
12648,batu pijakan,kekalahan bisa menjadi batu pijakan pijakan atau sandungan tergantung sikap kita menghadapinya,Defeat can be a stepping stone or a stumbling block depending on our attitude in facing it.
12711,batuk,sudah sebulan lamanya ia menderita batuk,He had been suffering from a cough for a month
12712,batuk,"kalau batuk, tutuplah mulutmu","If you cough, cover your mouth"
12733,bau,bau napas yang keluar dari mulutnya busuk,the breath that came out of his mouth was foul
12755,baung,tanduk baung,baung horn
12772,bauran,ritual-ritual religi akan berubah bentuk dari pengotak-ngotakan menjadi bauran nilai yang transparan,religious rituals will change form from compartmentalization to a transparent mix of values
12789,bawaan,bawaannya dari luar negeri dikenakan pajak,goods from abroad are subject to tax
12790,bawaan,"apabila bercerai, bawaan perempuan tetap menjadi hak si perempuan","If you divorce, the woman's inheritance remains the woman's right"
12791,bawaan,"apabila nenek datang, tentu banyak bawaan untuk cucunya","When grandma comes, of course there will be a lot of luggage for her grandchildren"
12793,bawaan,kekacauan ini adalah bawaan perang yang baru lalu,This chaos is a legacy of the recent war
12796,bawah,"bawah duli (kadam, kaus, cerpu) kata penghormatan terhadap raja; ke bawah duli baginda, ki","under duli (kadam, jersey, cerpu) a word of respect for the king; down, sire, ki"
12799,bawah sadar,kekuatan tenaga batin terdapat dalam alam bawah sadar sadar manusia,the power of inner energy is found in the subconscious of human consciousness
12842,baya,usianya sudah setengah baya,he is already middle-aged
12843,baya,ayahku sudah baya,my father is old
12861,bayang-bayang,muka adikku tidak nyata kelihatan karena ia berdiri pada bayang-bayang pintu,My sister's face was not clearly visible because she was standing in the shadow of the door.
12863,bayang-bayang,"ia tersenyum kepada bayang-bayangnya pada cermin, sambil mengatur rambutnya","she smiled at her reflection in the mirror, while adjusting her hair"
12864,bayang-bayang,dalam gelap itu bayang-bayang hitam melintas di hadapan mereka,in the darkness black shadows flashed before them
12865,bayang-bayang,sudah ada bayang-bayang dalam ingatanku,there are already shadows in my memory
12866,bayang-bayang,"rakyat kelihatan tenang-tenang saja, tidak ada bayang-bayang akan pecah perang","The people seemed calm, there was no shadow of war breaking out"
12867,bayang-bayang,"kamu tidak usah takut karena yang kamu lihat itu hanyalah bayang-bayang belaka, bukan benda yang sebenarnya","You don't need to be afraid because what you see is just a shadow, not the real thing."
12868,bayang-bayang,pemerintah bayang-bayang; anggota bayang-bayang,shadow government; shadow members
12879,bayaran,orang dapat juga berobat dengan bayaran murah,people can also get treatment at low cost
12880,bayaran,dia adalah pemain bayaran,he is a paid player
12881,bayaran,"ia mendapat bayaran sebesar Rp500.000,00 sebulan","he gets paid IDR 500,000.00 a month"
12898,bayu,perahu layar itu melaju dipuput sang bayu,the sailing boat sailed on the wind
12931,be-,beratap; bercita-cita; beristri,roofed; aspiring; married
12932,be-,berlayar; bermobil; berbaju,sailing; driving; dressing
12933,be-,bertelur; berkokok,lay eggs; crow
12934,be-,bertiga; berjuta-juta,three; millions
12935,be-,beradik; berbapak; bertuan,siblings; father; master
12936,be-,bertani; bertinju,farming; boxing
12937,be-,bergembira; bersedih,happy; sad
12938,be-,bergulat; bertinju,wrestling; boxing
12939,be-,berhias; bercukur,groomed; shaved
12963,bebak,di sepanjang jalan itu kami mendapati ada lima bebak yang ditinggalkan pemiliknya,along the road we found five rickshaws that had been abandoned by their owners
12965,bebal,menghadapi orang yang bebal tidaklah mudah,Dealing with stupid people is not easy
12969,beban,mana boleh kuda ini diberi beban yang seberat itu,How can this horse be given such a heavy load?
12970,beban,urusan ini menjadi beban kita,this matter becomes our burden
12986,bebas,tiap anggota bebas mengemukakan pendapat; burung itu terbang bebas di angkasa,each member is free to express their opinion; the bird flies freely in the sky
12987,bebas,"hari ini ia bebas dari kewajiban mengajar; karena memang tidak bersalah, ia bebas dari tuntutan","Today he is free from the obligation to teach; because he is innocent, he is free from prosecution."
12988,bebas,surat dinas ini bebas bea,This official letter is free of charge
12989,bebas,obat itu dijual bebas dan terdapat di setiap apotek,The drug is sold freely and is available in every pharmacy.
12990,bebas,sehabis Perang Dunia II banyak negara yang bebas; politik luar negeri yang bebas dan aktif,"After World War II, many countries became free; a free and active foreign policy"
12991,bebas,negara kita belum bebas buta huruf; daerah ini sudah bebas cacar,Our country is not yet free from illiteracy; this area is already free from smallpox
13012,bebauan,penyakitnya membuatnya sulit mencium bebauan,his illness made it difficult for him to smell
13032,beberapa,ia membeli beberapa buku di toko ini,he bought some books in this shop
13040,bebetok,siang ini kita makan nasi dengan lauk bebetok,This afternoon we eat rice with bebetok as a side dish
13042,bebijian,"burung merak itu memakan dedaunan, rerumputan, serta bebijian dari buah semak belukar","The peacock eats leaves, grass, and seeds from the fruit of shrubs"
13053,bebungaan,"teh herbal dibuat dari bebungaan, bebijian, dedaunan, atau akar dari beragam tanaman","Herbal teas are made from the flowers, seeds, leaves, or roots of various plants."
13060,becek,"kalau hujan, jalan ke rumahnya becek","If it rains, the road to the house is muddy"
13061,beceng,seorang laki-laki bertopeng menodongkan becengnya,a masked man brandishing his beceng
13062,becermin,sebentar-sebentar ia becermin mengamati sanggulnya,He looked in the mirror for a moment and looked at his bun
13063,becermin,lemari pakaiannya tidak becermin,the wardrobe doesn't have a mirror
13064,becermin,kita dapat becermin pada pengalaman masa lalu,we can reflect on past experiences
13065,becermin,"jika tiap orang mau becermin dalam hati sendiri, pasti diketahuinya bahwa dirinya pun tidak bersih dari cacat dan cela","If each person were to look in the mirror of his own heart, he would surely know that he himself is not free from flaws and defects."
13072,becus,karyawan yang tidak becus bekerja akan diganti,Employees who are not competent will be replaced
13073,beda,kelakuan anak itu tidak ada bedanya dengan kelakuan ayahnya,the child's behavior is no different from his father's behavior
13074,beda,barang impor dan barang buatan dalam negeri beda harganya tidak seberapa,The price difference between imported goods and domestically made goods is not much
13131,bedaya,waktu itu ia bertugas menjadi bedaya,at that time he was assigned to be a bedaya
13133,bedebah,anak bedebah; si bedebah,bastard; the bastard
13134,bedegap,badannya gemuk bedegap dan sangat sehat,"his body is fat, well-built and very healthy"
13143,bederma,bederma kepada yayasan yatim piatu,donate to orphanages
13160,bedol santri,Jawa Barat mensponsori penyelenggaraan bedol santri santri,West Java sponsors the holding of the santri bedol
13162,bedolan,"jika ingin menikahkan di rumah, ia akan dikenakan tarif bedolan","If you want to get married at home, you will be charged a bedolan fee."
13193,begawan ekonomi,sinyalemen begawan ekonomi ekonomi tentang kebocoran 30% dana pembangunan terus menggelinding seperti bola salju,The economic guru's signal that the 30% leakage of development funds continues to roll like a snowball
13198,begini,tolong belikan pensil yang begini,please buy a pencil like this
13200,begitu,"bukan begini, tetapi begitu seperti yang berada di pojok sana itu; begitu sayangnya dia kepada keluarganya sehingga memilih menetap di kota kelahirannya","not like this, but like that in the corner over there; he loves his family so much that he chose to stay in his hometown"
13201,begitu,ia begitu baik kepadaku,he is so kind to me
13202,begitu,"begitu dibayar, boleh dibawa; begitu ia datang, kami terus berangkat","once paid, you can take it with you; as soon as he came, we kept going"
13205,begituan,harap dikerjakan dengan rapi jangan begituan saja,"Please do it neatly, don't just do it like that"
13206,begituan,saya tidak suka sama sekali barang-barang begituan,I don't like that kind of stuff at all
13207,bego,"ia selalu berlagak bego, pura-pura tidak mengerti","he always acts stupid, pretending not to understand"
13228,bejat,tikar itu bejat karena dimakan tikus,the mat is rotten because it was eaten by rats
13233,bejibun,utangnya saat itu memang bejibun,his debt at that time was indeed huge
13239,bekadu,tradisi bekadu sering dilakukan oleh pemuda-pemudi,The Bekadu tradition is often performed by young men and women
13244,bekal,mereka membawa bekal dalam perjalanan,they brought provisions for the journey
13245,bekal,ilmu pengetahuan adalah bekal untuk hari tua,knowledge is a provision for old age
13246,bekal,bekal saya dalam menempuh hidup hanyalah keberanian dan kejujuran,My only provision in life is courage and honesty
13256,bekarat,cara paling ampuh untuk melerai kucing yang sedang bekarat ialah dengan disiram air,The most effective way to treat a rusty cat is to douse it with water
13257,bekas,ada bekas ban mobil di halaman; pada tembok ini tampak bekas tapak kaki,there are car tire marks in the yard; on this wall there are footprints
13258,bekas,perkataannya meninggalkan bekas yang tidak akan pernah hilang di hatiku,His words left a mark that will never disappear in my heart
13259,bekas,runtuhan bekas gedung-gedung besar; tidak ada bekasnya lagi,ruins of former large buildings; there is no trace of them anymore
13260,bekas,dia adalah bekas guru saya; dia bekas lurah,he was my former teacher; he is a former village head
13261,bekas,barang bekas; usahanya adalah menjual dan membeli mobil bekas,used goods; the business is selling and buying used cars
13262,bekas,bekas tinta; bekas sirih,ink marks; betel marks
13279,beken,ia dihormati di mana-mana karena ayahnya mempunyai nama yang beken,he is respected everywhere because his father has a famous name
13283,bekerja,ia bekerja di perkebunan,he works on the plantation
13284,bekerja,"ketika bekerja mengawinkan anaknya, aku tidak diundangnya","when he was working to marry off his child, he didn't invite me"
13285,bekerja bakti,sebulan sekali warga desa diharuskan bekerja bakti bakti,"Once a month, village residents are required to do community service."
13286,bekerja sama,orang tua dan guru harus bekerja sama sama mencegah perkelahian antarpelajar,Parents and teachers must work together to prevent fights between students.
13288,bekerjap-kerjap,bisnis di kawasan ini bukan redup tapi malah makin bekerjap-kerjap,Business in this area is not dimming but is actually growing faster
13290,bekerling,sesekali matanya bekerling ke sana ke mari seperti tengah mengawasi,occasionally his eyes darted here and there as if he was watching
13294,bekernyutan,kulit orang tua itu bekernyutan,the old man's skin was wrinkled
13298,bekertas,buku cerita bekertas tebal cocok sebagai bahan bacaan anak-anak,thick paper story books are suitable as reading material for children
13301,bekile,mereka menikmati sajian makanan dan bekile setelah semua disiapkan secara bersama juga,they enjoyed the food and bekile after everything was prepared together too
13306,bekles,baju bekles baju (perempuan) dengan potongan punggung sangat rendah,baju bekles (women's) dress with a very low back cut
13310,beksan,ada sebelas tembang yang digunakan untuk mengiringi beksan klasik,There are eleven songs used to accompany classical beksan
13311,beku,panaskanlah agar minyak kelapa yang beku itu mencair; air menjadi beku pada suhu 0°C,heat it so that the frozen coconut oil melts; Water freezes at 0°C
13312,beku,pepatah-pepatah lama merupakan kalimat yang sudah beku,old proverbs are sentences that have frozen
13313,beku,hatinya jadi beku sejak kegagalan cintanya,his heart became frozen since his love failure
13314,beku,"setelah pemilihan umum selesai, sebelum pelantikan DPR baru, DPR lama dinyatakan beku","After the general election is over, before the inauguration of the new DPR, the old DPR is declared frozen"
13315,beku,susah mengajar anak yang otaknya beku,It's hard to teach a child whose brain is frozen
13316,beku,simpanan dalam bank di luar negeri masih beku,deposits in banks abroad are still frozen
13317,beku,perkara itu sampai sekarang masih beku,This matter is still frozen to this day
13323,bel,di puncak menara gereja itu ada belnya,at the top of the church tower there is a bell
13325,bel,terdengar bel sebagai tanda masuk kerja; bel masuk; bel istirahat,the bell rang as a sign to go to work; the bell to come in; the bell for break
13329,bel-,beratap; bercita-cita; beristri,roofed; aspiring; married
13330,bel-,berlayar; bermobil; berbaju,sailing; driving; dressing
13331,bel-,bertelur; berkokok,lay eggs; crow
13332,bel-,bertiga; berjuta-juta,three; millions
13333,bel-,beradik; berbapak; bertuan,siblings; father; master
13334,bel-,bertani; bertinju,farming; boxing
